brand,category,product,standard_price,project_price
iko,Field Shingles,Cambridge,38.30,
iko,Field Shingles,Dynasty,43.20,
iko,Field Shingles,Nordic,55.95,
iko,Field Shingles,Armourshake,52.25,
iko,Field Shingles,Royal Estate,60.40,
iko,Field Shingles,Crowne Slate,
iko,Starter,IKO Leading Edge 109 (109 LF/bdl) - default,50.00,
iko,Starter,IKO Armourshake Starter (69 LF/bdl) - reqd for Armourshake,60.20,
iko,Hip & Ridge,IKO Hip & Ridge 12 (29.5 LF/bdl) - default,59.45,
iko,Hip & Ridge,IKO Ultra HP Cap (20 LF/bdl) - reqd for Armourshake,98.45,
iko,Accessory,"44"" Ice & Water Shield",75.25,
iko,Accessory,Synthetic Underlayment,76.15,
iko,Accessory,Drip Edge (8 ft),5.35,
iko,Accessory,Reversible Drip Edge (8 ft),6.75,
iko,Accessory,Transition Flashing (8 ft),21.31,
iko,Accessory,"""W"" Valley Metal (8 ft)",22.00,
iko,Accessory,Gable Flashing (8 ft),9.95,
iko,Accessory,Gravel Stop Flashing (8 ft),
iko,Accessory,"Step Flashing (9"")",0.75,
iko,Accessory,Wall Flashing (8 ft),9.95,
iko,Accessory,Backpan 3 ft,10.75,
iko,Accessory,Backpan 5 ft,16.75,
iko,Accessory,Backpan 8 ft,23.21,
iko,Accessory,Staples,7.00,
iko,Accessory,Nails,32.95,
iko,Accessory,Standard Vents,12.95,
iko,Accessory,Slant Back Vents,12.95,
iko,Accessory,Turbo Vents,82.55,
iko,Accessory,Ridge Vent (LF),17.01,
iko,Accessory,"Plumbing Stack 2""",9.95,
iko,Accessory,"Plumbing Stack 3""",9.95,
iko,Accessory,"Plumbing Stack 4""",9.95,
iko,Accessory,Goose Necks,23.00,
